name,description,guestCpus,memoryMb,zone,deprecationStatus,isSharedCpu
a2-highgpu-1g,"Accelerator Optimized: 1 NVIDIA Tesla A100 GPU, 12 vCPUs, 85GB RAM",12,87040,zones/us-central1-a,,False
a2-highgpu-2g,"Accelerator Optimized: 2 NVIDIA Tesla A100 GPUs, 24 vCPUs, 170GB RAM",24,174080,zones/us-central1-a,,False
a2-highgpu-4g,"Accelerator Optimized: 4 NVIDIA Tesla A100 GPUs, 48 vCPUs, 340GB RAM",48,348160,zones/us-central1-a,,False
a2-highgpu-8g,"Accelerator Optimized: 8 NVIDIA Tesla A100 GPUs, 96 vCPUs, 680GB RAM",96,696320,zones/us-central1-a,,False
a2-megagpu-16g,"Accelerator Optimized: 16 NVIDIA Tesla A100 GPUs, 96 vCPUs, 1360GB RAM",96,1392640,zones/us-central1-a,,False
a2-ultragpu-1g,"Accelerator Optimized: 1 NVIDIA A100 80GB GPU, 12 vCPUs, 170GB RAM, 1 local SSD",12,174080,zones/us-central1-a,,False
a2-ultragpu-2g,"Accelerator Optimized: 2 NVIDIA A100 80GB GPUs, 24 vCPUs, 340GB RAM, 2 local SSD",24,348160,zones/us-central1-a,,False
a2-ultragpu-4g,"Accelerator Optimized: 4 NVIDIA A100 80GB GPUs, 48 vCPUs, 680GB RAM, 4 local SSD",48,696320,zones/us-central1-a,,False
a2-ultragpu-8g,"Accelerator Optimized: 8 NVIDIA A100 80GB GPUs, 96 vCPUs, 1360GB RAM, 8 local SSD",96,1392640,zones/us-central1-a,,False
a3-edgegpu-8g,"Accelerator Optimized: 8 NVIDIA H100 GPU, 208 vCPUs, 1872GB RAM",208,1916928,zones/us-central1-a,,False
a3-edgegpu-8g-nolssd,"Accelerator Optimized: 8 NVIDIA H100 GPU, 208 vCPUs, 1872GB RAM, No LocalSSD",208,1916928,zones/us-central1-a,,False
a3-highgpu-1g,"Accelerator Optimized: 1 NVIDIA H100 GPU, 26 vCPUs, 234GB RAM",26,239616,zones/us-central1-a,,False
a3-highgpu-2g,"Accelerator Optimized: 2 NVIDIA H100 GPU, 52 vCPUs, 468GB RAM",52,479232,zones/us-central1-a,,False
a3-highgpu-4g,"Accelerator Optimized: 4 NVIDIA H100 GPU, 104 vCPUs, 936GB RAM",104,958464,zones/us-central1-a,,False
a3-highgpu-8g,"Accelerator Optimized: 8 NVIDIA H100 GPU, 208 vCPUs, 1872GB RAM, 16 local SSD",208,1916928,zones/us-central1-a,,False
a3-megagpu-8g,"Accelerator Optimized: 8 NVIDIA H100 GPU, 208 vCPUs, 1872GB RAM, 16 local SSD",208,1916928,zones/us-central1-a,,False
c2-standard-16,"Compute Optimized: 16 vCPUs, 64 GB RAM",16,65536,zones/us-central1-a,,False
c2-standard-30,"Compute Optimized: 30 vCPUs, 120 GB RAM",30,122880,zones/us-central1-a,,False
c2-standard-4,"Compute Optimized: 4 vCPUs, 16 GB RAM",4,16384,zones/us-central1-a,,False
c2-standard-60,"Compute Optimized: 60 vCPUs, 240 GB RAM",60,245760,zones/us-central1-a,,False
c2-standard-8,"Compute Optimized: 8 vCPUs, 32 GB RAM",8,32768,zones/us-central1-a,,False
c2d-highcpu-112,"112 vCPUs, 224 GB RAM",112,229376,zones/us-central1-a,,False
c2d-highcpu-16,"16 vCPUs, 32 GB RAM",16,32768,zones/us-central1-a,,False
c2d-highcpu-2,"2 vCPUs, 4 GB RAM",2,4096,zones/us-central1-a,,False
c2d-highcpu-32,"32 vCPUs, 64 GB RAM",32,65536,zones/us-central1-a,,False
c2d-highcpu-4,"4 vCPUs, 8 GB RAM",4,8192,zones/us-central1-a,,False
c2d-highcpu-56,"56 vCPUs, 112 GB RAM",56,114688,zones/us-central1-a,,False
c2d-highcpu-8,"8 vCPUs, 16 GB RAM",8,16384,zones/us-central1-a,,False
c2d-highmem-112,"112 vCPUs, 896 GB RAM",112,917504,zones/us-central1-a,,False
c2d-highmem-16,"16 vCPUs, 128 GB RAM",16,131072,zones/us-central1-a,,False
c2d-highmem-2,"2 vCPUs, 16 GB RAM",2,16384,zones/us-central1-a,,False
c2d-highmem-32,"32 vCPUs, 256 GB RAM",32,262144,zones/us-central1-a,,False
